id,yorum,mevcut_etiket,model_tahmini,guven,onerilen_etiket,manuel_etiket,inceleme_notu
NOTR-002,Ürün bayağı büyük uzunca süre kullanılır gerçekten saçlarımı kullandığım zaman yumuşacık yapıyor ama uzun vadeli etkisi yok bana göre sadece kullanıldığında etki ediyor,nötr,olumlu,0.895,olumlu,,
NOTR-003,iyi guzrl kalitelu ürün,nötr,olumlu,0.552,olumlu,,
NOTR-009,Kullandıgım üründü güzel,nötr,olumlu,0.744,olumlu,,
NOTR-015,severek kullandığım bir ürün her evde bulunmasi lazim bence iyi rahatlatıyor,nötr,olumlu,0.981,olumlu,,
NOTR-016,ürün iyi paketlenmis hızlı elime ulasti,nötr,olumlu,0.738,olumlu,,
NOTR-017,yağlı ciltler kullanmamali kesinlikle,nötr,olumlu,0.394,olumlu,,
NOTR-019,çok sivilce yapti☹️,nötr,olumsuz,0.648,olumsuz,,
NOTR-022,Deneyip mutlu kalırım umarım yorumlara göre aldım,nötr,olumlu,0.519,olumlu,,
NOTR-024,çok beğendim her zamn aldığım kalitede,nötr,olumlu,0.969,olumlu,,
NOTR-025,"İlk defa kullanıyorum, yorumlara dayanarak aldım. Koku fena değil. Abartılı değil ama güzel. Orta kalıcılıkta. Hoş bir kokusu var ağır değil. Hemen kargoya verildi. Teşekkürler",nötr,olumlu,0.667,olumlu,,
NOTR-028,Uygun fiyat teşekkürler.,nötr,olumlu,0.92,olumlu,,
NOTR-030,kapaticiligi çok iyi,nötr,olumlu,0.729,olumlu,,
NOTR-031,Çok iyi tavsiye ederim.,nötr,olumlu,0.907,olumlu,,
NOTR-033,kas sabitleme basarili değil,nötr,olumsuz,0.942,olumsuz,,
NOTR-034,Rengi çok açık geldi bana,nötr,olumsuz,0.543,olumsuz,,
NOTR-038,ürün boyutu çok küçük resimde göründüğü gibi değil ve 1 haftadır hiç değişim olmadı,nötr,olumsuz,0.954,olumsuz,,
NOTR-039,Fotografa aldanıp aldım ama ne sürdüm ne cıktı olayı oldu sacınız çok acık renk değilse acık kumraala dönmesini beklemeyin derim ben. Saclarımı kahve oldugu icin ekstra bir acıcı alıp açtıktan sonra boyadım. Açtıktan sonra truncuya dönen sacımı orta kumral - türüncu tonlarında yaptı. Ve omzumun biraz asagısında olan sacıma iki kutuyu uyguladım anca yetti ki ben ombre yaptım. Tamamını boyamadım bile. Kargom da 4 güne geldi. F/P acısından 3,nötr,olumsuz,0.887,olumsuz,,
NOTR-046,bence satin alinmasa da olur gibi bir ürün,nötr,olumlu,0.508,olumlu,,
NOTR-049,Sürünce beyazlıklar kalıyor. Gözle temasında soğan doğramıştan beter oluyor 😞,nötr,olumsuz,0.558,olumsuz,,
NOTR-051,Ferah ve kalıcı bir kokusu var,nötr,olumlu,0.6,olumlu,,
NOTR-055,Kullanımı kolay güzel ürün,nötr,olumlu,0.681,olumlu,,
NOTR-065,Ürün çizgilere doluyor ayrıca fazla açık,nötr,olumsuz,0.924,olumsuz,,
NOTR-068,Hızlı kargo ürün de şimdilik güzel,nötr,olumlu,0.615,olumlu,,
NOTR-069,Çok kalın tüylü kaşlar için uygun değil,nötr,olumsuz,0.646,olumsuz,,
NOTR-073,Kokusu çok güzel. Yüzü iyi temizliyor. Memnun kaldım.,nötr,olumlu,0.944,olumlu,,
